Date,CPI
01/03/1997,1462548.77
01/04/1997,1519522.69
01/05/1997,1563454.09
01/06/1997,1580555.26
01/07/1997,1644428.43
01/08/1997,1775843.93
01/09/1997,1843810.94
01/10/1997,1936300.07
01/11/1997,2044192.31
01/12/1997,2138773.27
01/01/1998,2238086.18
01/02/1998,2419211.32
01/03/1998,2544132.86
01/04/1998,2660776.17
01/05/1998,2764034.18
01/06/1998,2840303.86
01/07/1998,2924099.4
01/08/1998,3076696.26
01/09/1998,3272986.65
01/10/1998,3338049.1
01/11/1998,3445106.33
01/12/1998,3560918.94
01/01/1999,3733658.06
01/02/1999,3900787.08
01/03/1999,4113752.51
01/04/1999,4232569.58
01/05/1999,4308956.39
01/06/1999,4409315.58
01/07/1999,4495810.89
01/08/1999,4774027.04
01/09/1999,5089043.24
01/10/1999,5251315.27
01/11/1999,5347577.03
01/12/1999,5530157.32
01/01/2000,5769484.46
01/02/2000,6119014.85
01/03/2000,6446392.35
01/04/2000,6624181.76
01/05/2000,6693399.85
01/06/2000,6930594.2
01/07/2000,7311208.92
01/08/2000,7678838.6
01/09/2000,7903446.01
01/10/2000,8096753.51
01/11/2000,8248633.2
01/12/2000,8474152.51
01/01/2001,8694480.47
01/02/2001,8981398.33
01/03/2001,9610096.21
01/04/2001,11080440.93
01/05/2001,11412854.16
01/06/2001,11812304.06
01/07/2001,12154860.87
01/08/2001,12786913.64
01/09/2001,13541341.54
01/10/2001,14340280.7
01/11/2001,14584065.47
01/12/2001,15007003.37
01/01/2002,15277129.43
01/02/2002,15582672.01
01/03/2002,15941073.47
01/04/2002,16100484.21
01/05/2002,16100484.21
01/06/2002,16229288.08
01/07/2002,16699937.43
01/08/2002,17267735.31
01/09/2002,17526751.34
01/10/2002,18105134.13
01/11/2002,18286185.47
01/12/2002,18670195.37
01/01/2003,19304982.01
01/02/2003,19787606.56
01/03/2003,20163571.08
01/04/2003,20526515.36
01/05/2003,21101257.79
01/06/2003,20383815.03
01/07/2003,19976138.73
01/08/2003,20016091.01
01/09/2003,20376380.64
01/10/2003,20702402.73
01/11/2003,20868021.96
01/12/2003,21034966.13
01/01/2004,21182210.89
01/02/2004,21097482.05
01/03/2004,21413944.28
01/04/2004,21542427.95
01/05/2004,22016361.36
01/06/2004,21928295.92
01/07/2004,21928295.92
01/08/2004,22410718.43
01/09/2004,22814111.36
01/10/2004,23201951.25
01/11/2004,23341162.96
01/12/2004,23481209.94
01/01/2005,23269879.05
01/02/2005,23269879.05
01/03/2005,23269879.05
01/04/2005,23595657.35
01/05/2005,23454083.41
01/06/2005,23383721.16
01/07/2005,23430488.6
01/08/2005,23594502.02
01/09/2005,23948419.55
01/10/2005,24068161.65
01/11/2005,24020025.33
01/12/2005,24116105.43
01/01/2006,24357266.48
01/02/2006,24284194.68
01/03/2006,24721310.19
01/04/2006,25141572.46
01/05/2006,25644403.91
01/06/2006,26157291.99
01/07/2006,26575808.66
01/08/2006,27133900.64
01/09/2006,27947917.66
01/10/2006,28590719.77
01/11/2006,28705082.65
01/12/2006,28733787.73
01/01/2007,29107326.97
01/02/2007,29311078.26
01/03/2007,29731303.29
01/04/2007,29939422.42
01/05/2007,29969361.84
01/06/2007,29729606.95
01/07/2007,29789066.16
01/08/2007,30444425.61
01/09/2007,30931536.42
01/10/2007,31395509.47
01/11/2007,31301322.94
01/12/2007,31426528.23
01/01/2008,31929352.69
01/02/2008,32120928.8
01/03/2008,32634863.66
01/04/2008,33418100.39
01/05/2008,33919371.9
01/06/2008,34496001.22
01/07/2008,35047937.24
01/08/2008,34977841.36
01/09/2008,35922243.08
01/10/2008,36353310
01/11/2008,36607783.17
01/12/2008,36022058.64
01/01/2009,35986036.58
01/02/2009,36022022.61
01/03/2009,36382242.84
01/04/2009,36418625.08
01/05/2009,36892067.21
01/06/2009,37150311.68
01/07/2009,36295854.51
01/08/2009,36912884.04
01/09/2009,37171274.23
01/10/2009,37728843.34
01/11/2009,38143860.62
01/12/2009,38029429.04
01/01/2010,37926749.58
01/02/2010,37907786.2
01/03/2010,38025300.34
01/04/2010,38295279.97
01/05/2010,38134439.8
01/06/2010,38145880.13
01/07/2010,38378570
01/08/2010,38758517.84
01/09/2010,39010448.21
01/10/2010,39400552.69
01/11/2010,39372972.3
01/12/2010,39270602.57
01/01/2011,39816463.95
01/02/2011,40095179.2
01/03/2011,40792835.31
01/04/2011,41172208.68
01/05/2011,41806260.7
01/06/2011,41601410.02
01/07/2011,42021584.26
01/08/2011,42992282.86
01/09/2011,43344819.58
01/10/2011,43934309.12
01/11/2011,44725126.69
01/12/2011,45042675.09
01/01/2012,44727376.36
01/02/2012,44611085.18
01/03/2012,45025968.27
01/04/2012,45863451.28
01/05/2012,45800528.87
01/06/2012,45365423.84
01/07/2012,44911769.6
01/08/2012,45414781.42
01/09/2012,46195915.66
01/10/2012,46625537.68
01/11/2012,46662838.11
01/12/2012,46658171.82
